ID	comment	sand(%)	silt(%)	clay(%)	Theta_r	Theta_s	Alpha	N	Ks	psi_inflec
186	NA	6	70	24	0.08095	0.46129	0.643	1.5861	1.30434E-06	-0.830226522
187	NA	6	72	22	0.07866	0.45989	0.622	1.60065	1.38386E-06	-0.871506924
188	NA	6	74	20	0.07626	0.45978	0.61	1.61359	1.51479E-06	-0.900396344
189	NA	6	76	18	0.07365	0.46108	0.605	1.62485	1.7055E-06	-0.917938012
190	NA	6	78	16	0.07078	0.46396	0.608	1.63442	1.96292E-06	-0.921805179
191	NA	6	80	14	0.06759	0.46861	0.618	1.64226	2.29333E-06	-0.913560201
192	NA	6	82	12	0.06406	0.47522	0.637	1.64836	2.70336E-06	-0.891289374
193	NA	6	84	10	0.06023	0.48401	0.665	1.65262	3.20021E-06	-0.857063408
194	NA	6	86	8	0.0562	0.49522	0.706	1.65487	3.79243E-06	-0.808924593
195	NA	6	88	6	0.05216	0.50909	0.762	1.65488	4.49617E-06	-0.749482783
196	NA	6	90	4	0.04832	0.52565	0.84	1.65241	5.34433E-06	-0.678380095
197	NA	6	92	2	0.04484	0.54438	0.948	1.64737	6.38219E-06	-0.598353196
198	NA	6	94	0	0.0417	0.56419	1.092	1.64003	7.6593E-06	-0.51594594
199	NA	8	0	92	0.10444	0.49062	1.699	1.14278	2.05263E-06	-0.095360807
200	NA	8	2	90	0.10398	0.49447	1.77	1.14301	2.04691E-06	-0.091682024
201	NA	8	4	88	0.10358	0.49793	1.836	1.14465	2.03588E-06	-0.089391975
202	NA	8	6	86	0.10324	0.50094	1.893	1.14754	2.01994E-06	-0.088415735
203	NA	8	8	84	0.10301	0.50352	1.939	1.15141	2.00527E-06	-0.088553933
204	NA	8	10	82	0.10289	0.50569	1.976	1.15605	1.99819E-06	-0.089515625
205	NA	8	12	80	0.10285	0.50747	2.001	1.16129	2.00049E-06	-0.091304782
206	NA	8	14	78	0.10284	0.50891	2.016	1.16707	2.01093E-06	-0.09379094
207	NA	8	16	76	0.10285	0.51002	2.019	1.17337	2.02845E-06	-0.097074801
208	NA	8	18	74	0.10286	0.51085	2.013	1.18021	2.0538E-06	-0.101065049
209	NA	8	20	72	0.10287	0.51141	1.998	1.18764	2.09053E-06	-0.105841285
210	NA	8	22	70	0.10288	0.51173	1.975	1.19569	2.14739E-06	-0.111437174
211	NA	8	24	68	0.10289	0.51181	1.944	1.20442	2.24379E-06	-0.117972424
212	NA	8	26	66	0.1029	0.51167	1.907	1.21388	2.40961E-06	-0.125457317
213	NA	8	28	64	0.10292	0.51131	1.864	1.22413	2.64964E-06	-0.134037487
214	NA	8	30	62	0.10292	0.51072	1.814	1.23524	2.92606E-06	-0.143974508
215	NA	8	32	60	0.1029	0.50992	1.758	1.24732	3.19797E-06	-0.155452717
216	NA	8	34	58	0.10285	0.50891	1.696	1.26045	3.29573E-06	-0.168762179
217	NA	8	36	56	0.10276	0.5077	1.631	1.2747	3.08027E-06	-0.183924344
218	NA	8	38	54	0.1026	0.50633	1.563	1.29011	2.68268E-06	-0.201237369
219	NA	8	40	52	0.10235	0.50486	1.496	1.30674	2.33955E-06	-0.220494316
220	NA	8	42	50	0.10201	0.50332	1.43	1.32465	2.09927E-06	-0.241906361
221	NA	8	44	48	0.10153	0.50173	1.364	1.34387	1.91644E-06	-0.265885335
222	NA	8	46	46	0.1009	0.50006	1.3	1.3643	1.77252E-06	-0.292233963
223	NA	8	48	44	0.10007	0.49815	1.235	1.38569	1.66292E-06	-0.321737662
224	NA	8	50	42	0.09902	0.4958	1.166	1.40764	1.58078E-06	-0.35558944
225	NA	8	52	40	0.09766	0.4928	1.095	1.42973	1.51638E-06	-0.393950053
226	NA	8	54	38	0.09592	0.48901	1.021	1.4516	1.46136E-06	-0.438167742
227	NA	8	56	36	0.09382	0.48447	0.946	1.47301	1.4109E-06	-0.488868833
228	NA	8	58	34	0.09155	0.47941	0.874	1.49409	1.36586E-06	-0.545557854
229	NA	8	60	32	0.08925	0.47418	0.806	1.51499	1.33462E-06	-0.608623539
230	NA	8	62	30	0.08693	0.46909	0.746	1.53553	1.32016E-06	-0.675048612
231	NA	8	64	28	0.0846	0.46444	0.693	1.55537	1.31893E-06	-0.744241307
232	NA	8	66	26	0.08228	0.46057	0.65	1.57417	1.33189E-06	-0.810658056
233	NA	8	68	24	0.07996	0.45771	0.617	1.59164	1.37078E-06	-0.870335838
234	NA	8	70	22	0.07762	0.45602	0.593	1.60757	1.45294E-06	-0.920620208
235	NA	8	72	20	0.07518	0.45561	0.578	1.62176	1.58969E-06	-0.957935768
236	NA	8	74	18	0.07258	0.4566	0.57	1.63409	1.79086E-06	-0.982952368
237	NA	8	76	16	0.06973	0.45916	0.571	1.64447	2.06513E-06	-0.990775411
238	NA	8	78	14	0.06659	0.46347	0.579	1.65288	2.42044E-06	-0.984595317
239	NA	8	80	12	0.06313	0.46973	0.595	1.65929	2.8646E-06	-0.963621167
240	NA	8	82	10	0.05937	0.47817	0.62	1.66365	3.40503E-06	-0.928325666
241	NA	8	84	8	0.05539	0.48903	0.656	1.6658	4.05291E-06	-0.879031408
242	NA	8	86	6	0.05137	0.50258	0.707	1.66554	4.82853E-06	-0.815436882
243	NA	8	88	4	0.04752	0.5189	0.778	1.66263	5.76053E-06	-0.739134874
