0     sand(%)     silt(%)     clay(%)
1073     56     44     0
1074     58     0     42
1075     58     2     40
1076     58     4     38
1077     58     6     36
1078     58     8     34
1079     58     10     32
1080     58     12     30
1081     58     14     28
1082     58     16     26
1083     58     18     24
1084     58     20     22
1085     58     22     20
1086     58     24     18
1087     58     26     16
1088     58     28     14
1089     58     30     12
1090     58     32     10
1091     58     34     8
1092     58     36     6
1093     58     38     4
1094     58     40     2
1095     58     42     0
1096     60     0     40
1097     60     2     38
1098     60     4     36
1099     60     6     34
1100     60     8     32
1101     60     10     30
1102     60     12     28
1103     60     14     26
1104     60     16     24
1105     60     18     22
1106     60     20     20
1107     60     22     18
1108     60     24     16
1109     60     26     14
1110     60     28     12
1111     60     30     10
1112     60     32     8
1113     60     34     6
1114     60     36     4
1115     60     38     2
1116     60     40     0
1117     62     0     38
1118     62     2     36
1119     62     4     34
1120     62     6     32
1121     62     8     30
1122     62     10     28
1123     62     12     26
1124     62     14     24
1125     62     16     22
1126     62     18     20
1127     62     20     18
1128     62     22     16
1129     62     24     14
1130     62     26     12
1131     62     28     10
1132     62     30     8
1133     62     32     6
1134     62     34     4
1135     62     36     2
1136     62     38     0
1137     64     0     36
1138     64     2     34
1139     64     4     32
1140     64     6     30
1141     64     8     28
1142     64     10     26
1143     64     12     24
1144     64     14     22
1145     64     16     20
1146     64     18     18
1147     64     20     16
1148     64     22     14
1149     64     24     12
1150     64     26     10
1151     64     28     8
1152     64     30     6
1153     64     32     4
1154     64     34     2
1155     64     36     0
1156     66     0     34
1157     66     2     32
1158     66     4     30
1159     66     6     28
1160     66     8     26
1161     66     10     24
1162     66     12     22
1163     66     14     20
1164     66     16     18
1165     66     18     16
1166     66     20     14
1167     66     22     12
1168     66     24     10
1169     66     26     8
1170     66     28     6
1171     66     30     4
1172     66     32     2
1173     66     34     0
1174     68     0     32
1175     68     2     30
1176     68     4     28
1177     68     6     26
1178     68     8     24
1179     68     10     22
1180     68     12     20
1181     68     14     18
1182     68     16     16
1183     68     18     14
1184     68     20     12
1185     68     22     10
1186     68     24     8
1187     68     26     6
1188     68     28     4
1189     68     30     2
1190     68     32     0
1191     70     0     30
1192     70     2     28
1193     70     4     26
1194     70     6     24
1195     70     8     22
1196     70     10     20
1197     70     12     18
1198     70     14     16
1199     70     16     14
1200     70     18     12
1201     70     20     10
1202     70     22     8
1203     70     24     6
1204     70     26     4
1205     70     28     2
1206     70     30     0
1207     72     0     28
1208     72     2     26
1209     72     4     24
1210     72     6     22
1211     72     8     20
1212     72     10     18
1213     72     12     16
1214     72     14     14
1215     72     16     12
1216     72     18     10
1217     72     20     8
1218     72     22     6
1219     72     24     4
1220     72     26     2
1221     72     28     0
1222     74     0     26
1223     74     2     24
1224     74     4     22
1225     74     6     20
1226     74     8     18
1227     74     10     16
1228     74     12     14
1229     74     14     12
1230     74     16     10
1231     74     18     8
1232     74     20     6
1233     74     22     4
1234     74     24     2
1235     74     26     0
1236     76     0     24
1237     76     2     22
1238     76     4     20
1239     76     6     18
1240     76     8     16
1241     76     10     14
1242     76     12     12
1243     76     14     10
1244     76     16     8
1245     76     18     6
1246     76     20     4
1247     76     22     2
1248     76     24     0
1249     78     0     22
1250     78     2     20
1251     78     4     18
1252     78     6     16
1253     78     8     14
1254     78     10     12
1255     78     12     10
1256     78     14     8
1257     78     16     6
1258     78     18     4
1259     78     20     2
1260     78     22     0
1261     80     0     20
1262     80     2     18
1263     80     4     16
1264     80     6     14
1265     80     8     12
1266     80     10     10
1267     80     12     8
1268     80     14     6
1269     80     16     4
1270     80     18     2
1271     80     20     0
1272     82     0     18
1273     82     2     16
1274     82     4     14
1275     82     6     12
1276     82     8     10
1277     82     10     8
1278     82     12     6
1279     82     14     4
1280     82     16     2
1281     82     18     0
1282     84     0     16
1283     84     2     14
1284     84     4     12
1285     84     6     10
1286     84     8     8
1287     84     10     6
1288     84     12     4
1289     84     14     2
1290     84     16     0
1291     86     0     14
1292     86     2     12
1293     86     4     10
1294     86     6     8
1295     86     8     6
1296     86     10     4
1297     86     12     2
1298     86     14     0
1299     88     0     12
1300     88     2     10
1301     88     4     8
1302     88     6     6
1303     88     8     4
1304     88     10     2
1305     88     12     0
1306     90     0     10
1307     90     2     8
1308     90     4     6
1309     90     6     4
1310     90     8     2
1311     90     10     0
1312     92     0     8
1313     92     2     6
1314     92     4     4
1315     92     6     2
1316     92     8     0
1317     94     0     6
1318     94     2     4
1319     94     4     2
1320     94     6     0
1321     96     0     4
1322     96     2     2
1323     96     4     0
1324     98     0     2
1325     98     2     0
1326     100     0     0
